case_id,fg_voxels,pseudo_mean_conf,accepted,source_npz
10199_HCT2_img,104227,0.9865421652793884,1,runs\cardiac_leads_ssl\cache\unlabeled\10199_HCT2_img.npz
10200_HCT2_img,134565,0.9824702739715576,1,runs\cardiac_leads_ssl\cache\unlabeled\10200_HCT2_img.npz
10201_HCT2_img,128462,0.9826638102531433,1,runs\cardiac_leads_ssl\cache\unlabeled\10201_HCT2_img.npz
10202_HCT2_img,93843,0.9816174507141113,1,runs\cardiac_leads_ssl\cache\unlabeled\10202_HCT2_img.npz
10203_HCT2_img,123424,0.9819655418395996,1,runs\cardiac_leads_ssl\cache\unlabeled\10203_HCT2_img.npz
10204_HCT2_img,74062,0.9818200469017029,1,runs\cardiac_leads_ssl\cache\unlabeled\10204_HCT2_img.npz
10205_HCT2_img,118360,0.9812874794006348,1,runs\cardiac_leads_ssl\cache\unlabeled\10205_HCT2_img.npz
10207_HCT2_img,211713,0.9832905530929565,1,runs\cardiac_leads_ssl\cache\unlabeled\10207_HCT2_img.npz
10208_HCT2_img,225268,0.9813578128814697,1,runs\cardiac_leads_ssl\cache\unlabeled\10208_HCT2_img.npz
10209_HCT2_img,184350,0.9842213988304138,1,runs\cardiac_leads_ssl\cache\unlabeled\10209_HCT2_img.npz
10210_HCT2_img,175652,0.9842579364776611,1,runs\cardiac_leads_ssl\cache\unlabeled\10210_HCT2_img.npz
10211_HCT2_img,111092,0.9826547503471375,1,runs\cardiac_leads_ssl\cache\unlabeled\10211_HCT2_img.npz
10212_HCT2_img,121236,0.9868415594100952,1,runs\cardiac_leads_ssl\cache\unlabeled\10212_HCT2_img.npz
10214_HCT2_img,94733,0.9793811440467834,0,runs\cardiac_leads_ssl\cache\unlabeled\10214_HCT2_img.npz
10215_HCT2_img,107962,0.9813855886459351,1,runs\cardiac_leads_ssl\cache\unlabeled\10215_HCT2_img.npz
10216_HCT2_img,174273,0.9858670830726624,1,runs\cardiac_leads_ssl\cache\unlabeled\10216_HCT2_img.npz
10217_HCT2_img,161737,0.9842721223831177,1,runs\cardiac_leads_ssl\cache\unlabeled\10217_HCT2_img.npz
10219_HCT2_img,133715,0.9843593239784241,1,runs\cardiac_leads_ssl\cache\unlabeled\10219_HCT2_img.npz
10220_HCT2_img,78433,0.9849507808685303,1,runs\cardiac_leads_ssl\cache\unlabeled\10220_HCT2_img.npz
10221_HCT2_img,83756,0.9824137091636658,1,runs\cardiac_leads_ssl\cache\unlabeled\10221_HCT2_img.npz
10222_HCT2_img,112070,0.9831840395927429,1,runs\cardiac_leads_ssl\cache\unlabeled\10222_HCT2_img.npz
10223_HCT2_img,113725,0.983451247215271,1,runs\cardiac_leads_ssl\cache\unlabeled\10223_HCT2_img.npz
10224_HCT2_img,110471,0.9849081039428711,1,runs\cardiac_leads_ssl\cache\unlabeled\10224_HCT2_img.npz
10225_HCT2_img,127002,0.9825593829154968,1,runs\cardiac_leads_ssl\cache\unlabeled\10225_HCT2_img.npz
10226_HCT2_img,142221,0.9842422604560852,1,runs\cardiac_leads_ssl\cache\unlabeled\10226_HCT2_img.npz
10228_HCT2_img,101615,0.9850009679794312,1,runs\cardiac_leads_ssl\cache\unlabeled\10228_HCT2_img.npz
10229_HCT2_img,176056,0.9850590825080872,1,runs\cardiac_leads_ssl\cache\unlabeled\10229_HCT2_img.npz
10230_HCT2_img,149906,0.9829516410827637,1,runs\cardiac_leads_ssl\cache\unlabeled\10230_HCT2_img.npz
10231_HCT2_img,132262,0.9834379553794861,1,runs\cardiac_leads_ssl\cache\unlabeled\10231_HCT2_img.npz
10232_HCT2_img,141390,0.985188364982605,1,runs\cardiac_leads_ssl\cache\unlabeled\10232_HCT2_img.npz
10233_HCT2_img,100201,0.9812430739402771,1,runs\cardiac_leads_ssl\cache\unlabeled\10233_HCT2_img.npz
10234_HCT2_img,67964,0.9811291098594666,1,runs\cardiac_leads_ssl\cache\unlabeled\10234_HCT2_img.npz
10235_HCT2_img,164358,0.983796238899231,1,runs\cardiac_leads_ssl\cache\unlabeled\10235_HCT2_img.npz
10236_HCT2_img,85832,0.9831600189208984,1,runs\cardiac_leads_ssl\cache\unlabeled\10236_HCT2_img.npz
10237_HCT2_img,113034,0.9807441234588623,1,runs\cardiac_leads_ssl\cache\unlabeled\10237_HCT2_img.npz
10238_HCT2_img,148487,0.9816555976867676,1,runs\cardiac_leads_ssl\cache\unlabeled\10238_HCT2_img.npz
10240_HCT2_img,90407,0.9841586351394653,1,runs\cardiac_leads_ssl\cache\unlabeled\10240_HCT2_img.npz
10241_HCT2_img,51822,0.9814475178718567,1,runs\cardiac_leads_ssl\cache\unlabeled\10241_HCT2_img.npz
10242_HCT2_img,80564,0.9825906753540039,1,runs\cardiac_leads_ssl\cache\unlabeled\10242_HCT2_img.npz
10243_HCT2_img,48925,0.9820354580879211,1,runs\cardiac_leads_ssl\cache\unlabeled\10243_HCT2_img.npz
10244_HCT2_img,180133,0.9853511452674866,1,runs\cardiac_leads_ssl\cache\unlabeled\10244_HCT2_img.npz
10245_HCT2_img,169061,0.9844470024108887,1,runs\cardiac_leads_ssl\cache\unlabeled\10245_HCT2_img.npz
10246_HCT2_img,58655,0.9825835824012756,1,runs\cardiac_leads_ssl\cache\unlabeled\10246_HCT2_img.npz
10247_HCT2_img,95924,0.9845364689826965,1,runs\cardiac_leads_ssl\cache\unlabeled\10247_HCT2_img.npz
10248_HCT2_img,148026,0.9860601425170898,1,runs\cardiac_leads_ssl\cache\unlabeled\10248_HCT2_img.npz
10249_HCT2_img,145184,0.984825611114502,1,runs\cardiac_leads_ssl\cache\unlabeled\10249_HCT2_img.npz
10250_HCT2_img,250468,0.9830836653709412,1,runs\cardiac_leads_ssl\cache\unlabeled\10250_HCT2_img.npz
10251_HCT2_img,104338,0.9851232171058655,1,runs\cardiac_leads_ssl\cache\unlabeled\10251_HCT2_img.npz
10253_HCT2_img,214705,0.9855607151985168,1,runs\cardiac_leads_ssl\cache\unlabeled\10253_HCT2_img.npz
10254_HCT2_img,97536,0.9850789308547974,1,runs\cardiac_leads_ssl\cache\unlabeled\10254_HCT2_img.npz
10256_HCT2_img,107649,0.9843706488609314,1,runs\cardiac_leads_ssl\cache\unlabeled\10256_HCT2_img.npz
10257_HCT2_img,114334,0.9845833778381348,1,runs\cardiac_leads_ssl\cache\unlabeled\10257_HCT2_img.npz
10258_HCT2_img,67427,0.9853443503379822,1,runs\cardiac_leads_ssl\cache\unlabeled\10258_HCT2_img.npz
10259_HCT2_img,120482,0.9849916696548462,1,runs\cardiac_leads_ssl\cache\unlabeled\10259_HCT2_img.npz
10260_HCT2_img,137427,0.9854716062545776,1,runs\cardiac_leads_ssl\cache\unlabeled\10260_HCT2_img.npz
10264_HCT2_img,114709,0.9824221730232239,1,runs\cardiac_leads_ssl\cache\unlabeled\10264_HCT2_img.npz
